ID,scale,relation,reason,shocking,notes,,,,
S1E1-1,10,1,5,8,Logan changes his mind about Kendall taking over,,,,                                                                                                                                                                                           
S1E2-1,3,1,2,4,Shiv initially refuses to back Kendall because she wants to take over,,,,
S2E10-1,4,1,2,2,Logan betrays Kendall,,,,
S2E10-3,8,1,1,10,Kendall betrays logan,,,,
S1E3-1,7,1,5,10,Roman betrays Kendall in the vote because Logan scares him,,,,
S1E4-1,7,1,2,9,"When destroying documents for Tom, Greg keeps some for his owns safety",,,,
S2-E3-1,2,1,3,3,"Ewan refuses to give Greg his money, instead giving it to Greenpeace",,,,
S2E4-1,1,1,2,1,Greg sues Ewan for refusing to give him his money,,,,
S3E10-1,9,1,4,10,"In order to protect Logan and the company, Tom betrays Shiv and foils their plan",,,,
S1E4-2,6,2,2,7,Stewy and shareholders go against the company ,,,,
S1E4-3,4,3,2,1,Sandi joins Stewy against the company ,,,,
S1E10-1,3,1,5,3,"Shiv betrays Tom after they get married, setting the tone for their relationship",,,,
S1E10-2,5,1,2,7,Logan blackmails Kendall with his accident to get him to stop being a rebel,,,,
S2-E2-1,4,1,2,8,Logan tells Shiv he will instead back her as CEO,,,,
S2-E5-1,6,2,2,9,Logan betrays Shiv by not announcing her as CEO,,,,
S3-E1-1,5,2,2,5,Greg turns on Tom and co. when he feels they are no longer safe,,,,
S3-E4-1,6,2,2,5,Greg turns back to Tom when he sees a route for himself,,,,
S4-E2-1,5,3,2,9,Mattson turns on Waystar and tries to take it for himself,,,,
S4-E8-1,7,1,2,4,Shiv Betrays the sibblings for her own gain,,,,
S4-E10-1,7,2,2,10,Mattson betrays Shiv by picking Tom as CEO instead,,,,
S4-E10-2,10,1,4,10,"Shiv betrays Kendall, ultimately decided the company fate",,,,
S4-E10-3,4,3,2,1,The comapny executives ditch the family and support Mattson for money and power,,,,
S1-E10-3,5,1,3,3,Shiv and Roman ditch kendall at the wedding,,,,
S2-E2-2,6,1,2,4,Shiv and Roman talks to Kendall to get information,,,,
S1-E2-1,4,3,2,7,"Lawrence agrees to make a deal with kendall, tricking him into a bad deal",,,,
S1-E5-1,2,3,2,2,Lawrence refuses to comply with Kendalls requests ,,,,
S1-E2-2,5,3,2,8,Kendall guts the Vaulter company and finally ends Lawrences powertrip,,,,
S2-E4-1,6,2,4,7,Rhea suddenly decides that PGN will not sell to Waystar,,,,
S2-E4-2,3,2,5,6,"Greg switches up on Tom, causing a small fight",,,,
S2-E4-3,6,2,2,9,Rhea finally agrees that she will instead talk about selling PGN,,,,
S2-E6-1,8,4,5,10,An unknown source close to the family leaks info about the cruises scandal ,,,,
S2-E6-2,7,2,2,8,Rhea joins forces with Logan to help the deal pass despite the scandal,,,,
S2-E6-3,6,2,2,9,Pierce family calls off the deal and fires Rhea for conspiring ,,,,
